0 1 2 3 4 5 6 7 8 9 0.680981
0 1 2 3 4 5 6 7 9 8 0.707187
0 1 2 3 4 6 5 7 8 9 0.731194
0 1 2 3 4 5 7 6 8 9 0.748142
0 1 2 3 4 5 6 8 7 9 0.748351
0 1 2 3 4 6 5 7 9 8 0.760922
0 1 2 3 4 5 7 6 9 8 0.770235
0 1 2 3 4 6 5 8 7 9 0.793224
0 1 2 3 4 5 6 9 7 8 0.817212
0 1 2 3 4 5 6 8 9 7 0.836186
0 1 2 3 4 6 7 5 8 9 0.859234
0 1 2 3 4 7 5 6 8 9 0.859728
0 1 2 3 4 6 5 9 7 8 0.862395
0 1 2 3 4 5 7 8 6 9 0.868174
0 1 2 3 4 6 5 8 9 7 0.876608
0 1 2 3 4 5 6 9 8 7 0.878841
0 1 2 3 4 7 5 6 9 8 0.882621
0 1 2 3 4 6 7 5 9 8 0.89233
0 1 2 3 5 4 6 7 8 9 0.906321
0 1 2 3 4 6 5 9 8 7 0.916052
0 1 2 3 4 5 7 9 6 8 0.916782
0 1 2 3 4 7 6 5 8 9 0.920607
0 1 2 3 4 5 8 6 7 9 0.922514
0 1 2 3 5 4 6 7 9 8 0.943922
0 1 2 3 4 7 6 5 9 8 0.95098
0 1 2 4 3 5 6 7 8 9 0.963597
0 1 2 3 4 7 5 8 6 9 0.968718
0 1 2 3 4 5 8 7 6 9 0.975177
0 1 2 4 3 5 6 7 9 8 0.983983
0 1 2 3 5 4 6 8 7 9 0.98484
0 1 2 3 4 5 7 8 9 6 0.985428
0 1 2 3 5 4 7 6 8 9 1.00427
