0 1 2 3 4 5 6 7 8 9 0.589239
0 1 2 3 4 5 6 7 9 8 0.625303
0 1 2 3 4 5 6 8 7 9 0.634116
0 1 2 3 4 5 7 6 8 9 0.661833
0 1 2 3 4 6 5 7 8 9 0.68626
0 1 2 3 4 5 7 6 9 8 0.693784
0 1 2 3 4 5 6 8 9 7 0.707653
0 1 2 3 4 5 6 9 7 8 0.720632
0 1 2 3 4 6 5 7 9 8 0.725847
0 1 2 3 4 6 5 8 7 9 0.731138
0 1 2 3 4 5 6 9 8 7 0.758105
0 1 2 3 4 5 8 6 7 9 0.767458
0 1 2 3 4 5 7 8 6 9 0.777312
0 1 2 3 4 6 5 8 9 7 0.808197
0 1 2 3 4 6 5 9 7 8 0.817964
0 1 2 3 5 4 6 7 8 9 0.830388
0 1 2 4 3 5 6 7 8 9 0.837553
0 1 2 3 4 5 8 7 6 9 0.83806
0 1 2 3 4 5 8 6 9 7 0.842936
0 1 2 3 4 5 7 9 6 8 0.843574
0 1 2 3 4 6 7 5 8 9 0.85164
0 1 2 3 4 6 5 9 8 7 0.855437
0 1 2 4 3 5 6 7 9 8 0.862459
0 1 2 3 4 7 5 6 8 9 0.866926
0 1 2 3 5 4 6 8 7 9 0.881616
0 1 2 4 3 5 6 8 7 9 0.88254
0 1 2 3 5 4 6 7 9 8 0.886729
0 1 2 3 4 6 7 5 9 8 0.894594
0 1 2 3 4 5 7 8 9 6 0.897052
0 1 2 3 4 7 5 6 9 8 0.899676
0 1 2 3 4 5 9 6 7 8 0.9014
0 1 2 3 5 4 7 6 8 9 0.909171
