0 1 2 3 4 5 6 7 8 9 1.22354
0 1 2 3 4 5 6 8 7 9 1.26855
0 1 2 3 4 5 6 7 9 8 1.3258
0 1 2 3 4 6 5 7 8 9 1.32761
0 1 2 3 4 6 5 8 7 9 1.3848
0 1 2 3 4 5 7 6 8 9 1.38566
0 1 2 3 4 5 6 8 9 7 1.3929
0 1 2 3 4 6 5 7 9 8 1.42204
0 1 2 3 4 5 8 6 7 9 1.48291
0 1 2 3 4 5 7 6 9 8 1.49731
0 1 2 3 4 5 6 9 7 8 1.50351
0 1 2 3 5 4 6 7 8 9 1.50793
0 1 2 3 4 6 5 8 9 7 1.51207
0 1 2 3 4 5 6 9 8 7 1.5256
0 1 2 3 5 4 6 8 7 9 1.52812
0 1 2 3 4 5 7 8 6 9 1.54498
0 1 2 3 4 6 7 5 8 9 1.56436
0 1 2 4 3 5 6 7 8 9 1.57421
0 1 2 3 4 5 8 7 6 9 1.59722
0 1 2 3 4 6 5 9 7 8 1.60345
0 1 2 3 4 5 8 6 9 7 1.61167
0 1 2 3 5 4 6 7 9 8 1.61186
0 1 2 3 4 6 5 9 8 7 1.63629
0 1 2 3 5 4 6 8 9 7 1.64069
0 1 2 4 3 5 6 8 7 9 1.65057
0 1 2 3 4 6 7 5 9 8 1.6628
0 1 2 4 3 5 6 7 9 8 1.66671
0 1 2 3 5 4 7 6 8 9 1.67311
0 1 2 3 4 6 8 5 7 9 1.70146
0 1 2 4 3 6 5 7 8 9 1.70164
0 1 2 4 3 5 7 6 8 9 1.70277
0 1 2 3 4 7 5 6 8 9 1.70887
