0 1 2 3 4 5 6 0.432094
0 1 2 4 3 5 6 0.432094
0 1 2 4 3 6 5 0.432094
0 1 2 3 4 6 5 0.432094
0 1 2 4 5 3 6 0.480285
0 1 2 3 6 4 5 0.480285
0 1 2 4 6 3 5 0.480285
0 1 2 3 5 4 6 0.480285
0 1 3 2 4 6 5 0.504158
0 1 4 2 3 5 6 0.504158
0 1 3 2 4 5 6 0.504158
0 1 4 2 3 6 5 0.504158
0 1 2 4 6 5 3 0.52164
0 1 2 4 5 6 3 0.52164
0 1 2 3 6 5 4 0.52164
0 1 2 3 5 6 4 0.52164
0 1 2 6 3 4 5 0.537764
0 1 2 6 4 3 5 0.537764
0 1 2 5 4 3 6 0.537764
0 1 2 5 3 4 6 0.537764
0 1 3 2 5 4 6 0.554734
0 1 4 2 5 3 6 0.554734
0 1 4 2 6 3 5 0.554734
0 1 3 2 6 4 5 0.554734
0 1 4 3 2 5 6 0.561637
0 1 3 4 2 6 5 0.561637
0 1 3 4 2 5 6 0.561637
0 1 4 3 2 6 5 0.561637
0 1 2 6 4 5 3 0.57912
0 1 2 5 3 6 4 0.57912
0 1 2 6 3 5 4 0.57912
0 1 2 5 4 6 3 0.57912
