0 1 2 3 4 5 6 7 8 9 0.589239	
0 1 2 3 4 5 6 8 7 9 0.634116	
0 1 2 3 4 6 5 7 8 9 0.68626	
0 1 2 3 4 6 5 8 7 9 0.731138	
0 1 2 4 3 5 6 7 8 9 0.837553	
0 1 2 3 4 6 7 5 8 9 0.85164	
0 1 2 3 4 7 5 6 8 9 0.866926	
0 1 2 3 4 6 7 5 9 8 0.894594	
0 1 2 3 4 5 9 6 7 8 0.9014	
0 1 2 3 5 4 7 6 8 9 0.909171	
0 1 2 3 4 5 7 9 8 6 0.931363	
0 1 2 4 3 5 6 9 7 8 0.94165	
0 1 2 4 3 6 5 7 8 9 0.942564	
0 1 2 3 5 4 7 6 9 8 0.95698	
0 1 2 3 4 7 5 8 6 9 0.998571	
0 1 2 3 5 4 8 6 7 9 1.02092	
0 1 2 3 4 6 7 8 5 9 1.03486	
0 1 2 4 3 5 8 6 7 9 1.03893	
0 1 2 3 4 6 8 5 9 7 1.04375	
0 1 2 3 4 5 9 7 8 6 1.04559	
0 1 2 3 4 5 9 8 6 7 1.05898	
0 1 2 4 3 5 7 8 6 9 1.07059	
0 1 2 3 4 6 9 5 7 8 1.09759	
0 1 2 4 3 5 8 6 9 7 1.1122	
0 1 2 4 3 5 8 7 6 9 1.1241	
0 1 3 2 4 5 7 6 9 8 1.12598	
0 1 3 2 4 6 5 7 8 9 1.12746	
0 1 2 3 5 4 7 9 6 8 1.1304	
0 1 2 3 4 8 5 6 9 7 1.14527	
0 1 2 3 4 8 5 7 6 9 1.14626	
0 1 2 3 5 6 4 8 7 9 1.21989	
0 1 2 3 5 6 4 7 9 8 1.23919	
